Islam in Ethiopia	0,9884	0,8095
Agnosticism	0,9851	0,9524
Centrism	0,9542	0,9286
Deism	0,9475	0,9524
Neoplatonism	0,9294	0,9762
Presbyterianism	0,9277	0,8571
Nationalism	0,9266	0,9286
Liberal democracy	0,9231	0,9524
Manichaeism	0,9170	0,4286
Separatism	0,9126	0,8095
Free trade	0,9094	0,8333
Expressionism	0,9040	0,7381
Glasnost	0,8972	0,7857
Aquatic animal	0,8781	0,0952
Nazism	0,8683	0,8571
Paganism	0,8640	0,9762
Assemblies of God	0,8566	0,3810
Celibacy	0,8559	0,8571
Affirmative action	0,8542	0,8571
Political correctness	0,8480	0,9286
Multiculturalism	0,8422	0,9048
Gun control	0,8409	0,7857
Absolute monarchy	0,8386	0,7857
New Democratic Party	0,8351	0,1667
Environmentalism	0,8343	0,8571
Freedom of speech	0,8320	0,9524
Hermeneutics	0,8299	0,7857
Orthodox Judaism	0,8287	0,8095
Direct action	0,8250	0,8095
Eastern Catholic Churches	0,8219	0,3095
Evangelism	0,8201	0,7381
Christian	0,8184	0,5000
Apostasy	0,8183	0,8810
Eastern Orthodox Church	0,8141	0,4286
Cultural assimilation	0,8126	0,9286
Grassroots	0,8099	0,5714
Iconoclasm	0,8098	0,8095
Democratic Unionist Party	0,8055	0,2619
Ancient Greek philosophy	0,8041	0,8571
Canadian Alliance	0,7937	0,5714
Abstract art	0,7921	0,6190
Learning disability	0,7878	0,6667
Monasticism	0,7858	0,9048
Colonial Revival architecture	0,7788	0,5238
Bourgeoisie	0,7771	0,8571
Promiscuity	0,7764	0,8333
Psychoanalysis	0,7760	0,7619
Advocacy	0,7715	0,8333
Dutch Reformed Church	0,7704	0,3810
Nuclear proliferation	0,7651	0,7857
Obesity	0,7641	0,6190
Manitoba Liberal Party	0,7624	0,2143
Catholic Church	0,7620	0,3571
Covenanter	0,7611	0,4762
Major depressive disorder	0,7583	0,6905
Ontology	0,7576	0,8333
Methodist Episcopal Church	0,7576	0,2143
National security	0,7541	0,7857
Police brutality	0,7527	0,5238
Intellectual disability	0,7504	0,5476
Environmentalist	0,7495	0,4524
Substance abuse	0,7488	0,7381
Great Purge	0,7472	0,3571
Natural selection	0,7468	0,8095
Confirmation	0,7395	0,8810
Equestrianism	0,7371	0,6667
Evil	0,7365	0,9762
Gothic Revival architecture	0,7363	0,5952
Faith	0,7357	0,9286
Polynomial	0,7345	0,5476
Metamorphism	0,7335	0,6667
Baroque	0,7306	0,7381
Black Panther Party	0,7269	0,2857
Dalit	0,7262	0,7381
Ovoviviparity	0,7215	0,6905
Computational complexity theory	0,7214	0,9048
Liberal arts education	0,7169	0,8095
Irish Parliamentary Party	0,7126	0,1667
Halakha	0,7122	0,4048
Predation	0,7119	0,6190
British National Party	0,7115	0,1905
Gerrymandering	0,7092	0,7857
Republic	0,7062	0,5952
Council of Chalcedon	0,6971	0,4524
Censorship	0,6967	0,8095
Polemic	0,6924	0,7619
Kuomintang	0,6922	0,1667
Pastoralism	0,6889	0,6429
Euphemism	0,6885	0,8810
Hamas	0,6839	0,2381
Responsible government	0,6837	0,8810
Creativity	0,6834	0,9524
Sexual dimorphism	0,6832	0,6190
Cato Institute	0,6815	0,0714
Metabolism	0,6811	0,5238
Semiotics	0,6800	0,7381
Biological life cycle	0,6777	0,7143
Extinction	0,6759	0,8333
Church in Wales	0,6726	0,1905
Sodomy	0,6715	0,3571
Functional analysis	0,6714	0,6429
Chabad	0,6702	0,3571
Immunodeficiency	0,6685	0,7381
Human sacrifice	0,6670	0,2857
Productivity	0,6659	0,8810
Industrialisation	0,6651	0,8333
Correlation and dependence	0,6633	0,8333
Astrology	0,6633	0,7857
Photojournalism	0,6623	0,5476
Apocrypha	0,6623	0,5476
Caucus	0,6546	0,3810
Corporate social responsibility	0,6545	0,9048
Electromagnetism	0,6531	0,5238
Bhikkhu	0,6526	0,2143
Conservation biology	0,6518	0,8095
Missionary	0,6503	0,3571
Intelligence quotient	0,6500	0,8571
Sunday school	0,6498	0,3571
Mission Revival architecture	0,6492	0,3810
Stochastic process	0,6481	0,8571
Cognitive science	0,6473	0,7619
French New Wave	0,6448	0,6190
Protest	0,6440	0,6429
Electroconvulsive therapy	0,6433	0,5476
Orbital inclination	0,6417	0,5476
Conflict of interest	0,6411	0,9524
Game theory	0,6406	0,9048
Equal Protection Clause	0,6366	0,7857
Cold War	0,6359	0,6429
Avatar	0,6357	0,8095
Prayer	0,6350	0,4524
Gastropoda	0,6340	0,1429
Chaos theory	0,6333	0,9286
Federation	0,6271	0,6190
American Craftsman	0,6269	0,4048
Mitzvah	0,6263	0,8095
Presbyterian polity	0,6258	0,8095
Hypertension	0,6252	0,5238
Congenital disorder	0,6235	0,4048
LGBT community	0,6229	0,4286
Rheumatoid arthritis	0,6206	0,1905
Gilded Age	0,6204	0,7381
List of essayists	0,6194	0,2381
Methodology	0,6191	0,7619
Socialite	0,6179	0,5000
Great power	0,6171	0,6190
Osteoarthritis	0,6165	0,2381
Brutalist architecture	0,6124	0,5714
Roman Rite	0,6109	0,6905
Politician	0,6097	0,1429
In vitro fertilisation	0,6093	0,4286
Refraction	0,6086	0,5000
Pro bono	0,6057	0,8571
Commonwealth of England	0,6043	0,4524
Amateur wrestling	0,6042	0,5476
Econometrics	0,6031	0,8571
Graph theory	0,6030	0,7619
Economics	0,6024	0,9286
Monetary policy	0,6021	0,9286
Doctrine	0,6021	0,8571
Innovation	0,6004	0,9048
Puppet state	0,6001	0,7381
Manifesto	0,5965	0,3333
